QUANTITY,INGREDIENT,CATEGORY,MEAL
3-1/4,"avocados - peeled, pitted, and diced",Produce,Tuesday Side
3/4,"green bell pepper, diced",Produce,Saturday Main
2 cups,chopped broccoli,Produce,Friday Main
1 cup,sliced carrots,Produce,Wednesday Main
1,"carrot, chopped",Produce,Friday Main
1/2 cup,sliced celery,Produce,Wednesday Main
1,"celery stalk, chopped",Produce,Friday Main
1 tablespoon,finely chopped chives,Produce,Monday Side
1/3 cup,chopped fresh cilantro,Produce,Tuesday Side
2 ears,"corn on the cob, husks and silk removed",Produce,Wednesday Side
5/8,"cucumber, diced",Produce,Tuesday Side
,"fresh thyme leaves, to taste",Produce,Thursday Side 2
5 ounces,"portobello mushrooms, thinly sliced",Produce,Monday Side
5 ounces,"white mushrooms, thinly sliced",Produce,Monday Side
3/8 (16 ounce) package,sliced mushrooms,Produce,Thursday Side 2
8,"green onions, sliced, divided",Produce,Tuesday Main
2-3/4,"green onions, chopped",Produce,Tuesday Side
1/3 cup,chopped onion,Produce,Wednesday Main
3/4 (1 ounce) envelope,dry onion soup mix,Produce,Thursday Main
1/4 small,"onion, chopped",Produce,Friday Main
1/2,"onion, diced",Produce,Friday Side
3/4 large,"onion, diced",Produce,Saturday Main
4 large,baking potatoes,Produce,Tuesday Main
2 pounds,"baking potatoes, peeled and quartered",Produce,Thursday Side 1
5/8,"shallots, diced",Produce,Monday Side
2/3 cup,quartered cherry tomatoes,Produce,Tuesday Side
8 slices,bacon,Meat,Tuesday Main
11 ounces,"bacon, chopped",Meat,Tuesday Side
1-1/2 pounds,lean ground beef,Meat,Thursday Main
1-1/2 pounds,ground beef,Meat,Saturday Main
1 (3 pound),"whole chicken, cut into pieces",Meat,Monday Main
1 pound,"skinless, boneless chicken breast halves - cubed",Meat,Wednesday Main
3/4 (1 ounce) packet,dry au jus mix,Middle,Thursday Main
1 (12 ounce) can,"garbanzo beans, drained",Middle,Friday Side
1-1/2 (15 ounce) cans,"kidney beans, drained",Middle,Saturday Main
1/4 cup and 2 tablespoons,Italian seasoned bread crumbs,Middle,Thursday Main
1/4 cup and 2 tablespoons,canned pumpkin puree,Middle,Saturday Main
1/4 teaspoon,celery seed,Middle,Wednesday Main
1 cup,cornmeal,Middle,Saturday Side
1 teaspoon,curry powder,Middle,Monday Main
1/2 cup,honey,Middle,Monday Main
3/4 (46 fluid ounce) can,tomato juice,Middle,Saturday Main
3/4 (28 ounce) can,peeled and diced tomatoes with juice,Middle,Saturday Main
1/4 cup,prepared mustard,Middle,Monday Main
1 tablespoon and 1-1/2 teaspoons,vegetable oil,Middle,Thursday Main
3/4 (28 ounce) can,peeled and diced tomatoes with juice,Middle,Saturday Main
1/2 cup,Arborio rice,Middle,Monday Side
2 tablespoons and 2 teaspoons,seasoned rice vinegar,Middle,Tuesday Side
1-1/2 (10.75 ounce) cans,condensed cream of chicken soup,Middle,Thursday Main
2-1/4 teaspoons,pumpkin pie spice,Middle,Saturday Main
2 tablespoons and 2 teaspoons,seasoned rice vinegar,Middle,Tuesday Side
1 cup,buttermilk,Refrigerated,Saturday Side
1 tablespoon and 2-1/4 teaspoons,freshly grated Parmesan cheese,Refrigerated,Monday Side
1 cup,"shredded Cheddar cheese, divided",Refrigerated,Tuesday Main
1 1/4 cups,shredded mild Cheddar cheese,Refrigerated,Friday Main
2,eggs,Refrigerated,Saturday Side
1 cup,half-and-half,Refrigerated,Friday Main
1/2 cup,milk,Refrigerated,Tuesday Main
2/3 cup,milk,Refrigerated,Wednesday Main
3 tablespoons,milk,Refrigerated,Thursday Main
1 cup,milk,Refrigerated,Thursday Side 1
1 cup,buttermilk,Refrigerated,Saturday Side
1 cup,sour cream,Refrigerated,Tuesday Main
1 cup,frozen green peas,Frozen,Wednesday Main
1 (10 ounce) box,"frozen chopped spinach, thawed and drained well",Frozen,Friday Side
2 (9 inch),unbaked pie crusts,Frozen,Wednesday Main
2 tablespoons and 2 teaspoons,dry white wine,Unknown,Monday Side
